"id_film";"url";"titre";"date_sortie";"duree";"genre";"nationalite";"type_film";"reprise";"couleur";"recompenses";"note_presse";"note_spectateurs"
"192689";"http://www.allocine.fr/film/fichefilm_gen_cfilm=192689.html";"Corpo celeste";"2011-12-28";"100";"Drame";"français";"Long-métrage";FALSE;"Couleur";"24 nominations";"3,2";"2,9"
"195788";"http://www.allocine.fr/film/fichefilm_gen_cfilm=195788.html";"L'Empire des Rastelli";"2011-12-28";"110";"Drame";"français";"Long-métrage";FALSE;"Couleur";"8 nominations";"2,7";"3,0"
"189334";"http://www.allocine.fr/film/fichefilm_gen_cfilm=189334.html";"Fruit défendu";"2011-12-28";"104";"Drame";"finlandais";"Long-métrage";FALSE;"Couleur";NA;"2,8";"3,0"
"199514";"http://www.allocine.fr/film/fichefilm_gen_cfilm=199514.html";"Maître du monde";"2011-12-28";"72";"Drame";"français";"Long-métrage";FALSE;"Couleur";NA;"2,7";"2,8"
"196522";"http://www.allocine.fr/film/fichefilm_gen_cfilm=196522.html";"Che bella giornata";"2011-11-01";"97";"Comédie";"italien";"Long-métrage";FALSE;"Couleur";NA;NA;NA
"182745";"http://www.allocine.fr/film/fichefilm_gen_cfilm=182745.html";"Intouchables";"2011-11-02";"112";"Comédie";"français";"Long-métrage";FALSE;"Couleur";"16 prix et 32 nominations";"3,7";"4,4"
"181881";"http://www.allocine.fr/film/fichefilm_gen_cfilm=181881.html";"Forces spéciales";"2011-11-02";"107";"Autres";"français";"Long-métrage";FALSE;"Couleur";"2 nominations";"1,2";"3,7"
"178832";"http://www.allocine.fr/film/fichefilm_gen_cfilm=178832.html";"La source des femmes";"2011-11-02";"130";"Comédie dramatique";"français";"Long-métrage";FALSE;"Couleur";"13 nominations";"2,4";"3,8"
"179618";"http://www.allocine.fr/film/fichefilm_gen_cfilm=179618.html";"Les Géants";"2011-11-02";"85";"Comédie";"français";"Long-métrage";FALSE;"Couleur";"10 prix et 19 nominations";"3,2";"3,3"
"191041";"http://www.allocine.fr/film/fichefilm_gen_cfilm=191041.html";"Il était une fois en Anatolie";"2011-11-02";"157";"Drame";"turc";"Long-métrage";FALSE;"Couleur";"1 prix et 12 nominations";"3,7";"3,3"
"178491";"http://www.allocine.fr/film/fichefilm_gen_cfilm=178491.html";"Love and Bruises";"2011-11-02";"105";"Drame";"français";"Long-métrage";FALSE;"Couleur";"2 nominations";"2,7";"2,1"
"53355";"http://www.allocine.fr/film/fichefilm_gen_cfilm=53355.html";"Le Vilain petit canard";"2011-11-02";"74";"Animation";"russe";"Long-métrage";FALSE;"Couleur";"1 prix et 14 nominations";"3,6";"3,4"
"197373";"http://www.allocine.fr/film/fichefilm_gen_cfilm=197373.html";"Squat, la ville est à nous !";"2011-11-02";"94";"Documentaire";"français";"Long-métrage";FALSE;"Couleur";NA;"2,8";"3,2"
"192110";"http://www.allocine.fr/film/fichefilm_gen_cfilm=192110.html";"La Pluie et le beau temps";"2011-11-02";"74";"Documentaire";"français";"Long-métrage";FALSE;"Couleur";"7 nominations";"3,2";"2,9"
"195148";"http://www.allocine.fr/film/fichefilm_gen_cfilm=195148.html";"Europolis";"2011-11-02";"98";"Drame";"français";"Long-métrage";FALSE;"Couleur";NA;NA;NA
"185249";"http://www.allocine.fr/film/fichefilm_gen_cfilm=185249.html";"Mon pire cauchemar";"2011-11-09";"103";"Comédie";"français";"Long-métrage";FALSE;"Couleur";"11 nominations";"3,0";"2,3"
"185426";"http://www.allocine.fr/film/fichefilm_gen_cfilm=185426.html";"On ne choisit pas sa famille";"2011-11-09";"103";"Comédie";"français";"Long-métrage";FALSE;"Couleur";"1 nomination";"1,2";"2,2"
"173428";"http://www.allocine.fr/film/fichefilm_gen_cfilm=173428.html";"Toutes nos envies";"2011-11-09";"120";"Drame";"français";"Long-métrage";FALSE;"Couleur";"3 prix et 18 nominations";"3,6";"3,7"
"192863";"http://www.allocine.fr/film/fichefilm_gen_cfilm=192863.html";"Michael";"2011-11-09";"94";"Drame";"autrichien";"Long-métrage";FALSE;"Couleur";"13 nominations";"2,9";"3,0"
"188460";"http://www.allocine.fr/film/fichefilm_gen_cfilm=188460.html";"Noces éphémères";"2011-11-09";"83";"Drame";"français";"Long-métrage";FALSE;"Couleur";"7 nominations";"3,4";"3,4"
"14795";"http://www.allocine.fr/film/fichefilm_gen_cfilm=14795.html";"Mes chers amis";"2011-11-18";"114";"Comédie";"italien";"Long-métrage";TRUE;"Couleur";"1 nomination";"4,4";"3,9"
"192874";"http://www.allocine.fr/film/fichefilm_gen_cfilm=192874.html";"Bonsái";"2011-11-09";"95";"Drame";"portugais";"Long-métrage";FALSE;"Couleur";"14 nominations";"2,9";"3,0"
"195556";"http://www.allocine.fr/film/fichefilm_gen_cfilm=195556.html";"Honk!";"2011-11-09";"68";"Documentaire";"français";"Long-métrage";FALSE;"Couleur";"5 nominations";"3,4";"3,8"
"192344";"http://www.allocine.fr/film/fichefilm_gen_cfilm=192344.html";"Celles qui aimaient Richard Wagner";"2011-11-09";"80";"Autres";"français";"Long-métrage";FALSE;"Couleur";NA;"1,0";"2,8"
"189962";"http://www.allocine.fr/film/fichefilm_gen_cfilm=189962.html";"Khodorkovski";"2011-11-09";"111";"Documentaire";"allemand";"Long-métrage";FALSE;"Couleur";"1 prix et 5 nominations";"3,7";"3,3"
"195625";"http://www.allocine.fr/film/fichefilm_gen_cfilm=195625.html";"Nos ancêtres les Gauloises";"2011-11-09";"90";"Documentaire";"français";"Long-métrage";FALSE;"Couleur";"1 nomination";NA;NA
"197998";"http://www.allocine.fr/film/fichefilm_gen_cfilm=197998.html";"Zones d'ombre";"2011-11-09";"87";"Documentaire";"français";"Long-métrage";FALSE;"Couleur";"1 nomination";"2,9";"2,9"
"18933";"http://www.allocine.fr/film/fichefilm_gen_cfilm=18933.html";"Si Paris l'avait su";"2011-11-09";NA;"Romance";"britannique";"Long-métrage";TRUE;"N&B";NA;"3,7";"3,3"
"131422";"http://www.allocine.fr/film/fichefilm_gen_cfilm=131422.html";"L'Ordre et la morale";"2011-11-16";"136";"Action";"français";"Long-métrage";FALSE;"Couleur";"3 prix et 4 nominations";"3,2";"3,5"
"179073";"http://www.allocine.fr/film/fichefilm_gen_cfilm=179073.html";"Les Neiges du Kilimandjaro";"2011-11-16";"107";"Drame";"français";"Long-métrage";FALSE;"Couleur";"3 prix et 22 nominations";"4,1";"3,7"
"182885";"http://www.allocine.fr/film/fichefilm_gen_cfilm=182885.html";"Nuit blanche";"2011-11-16";"98";"Thriller";"français";"Long-métrage";FALSE;"Couleur";"6 nominations";"3,2";"3,0"
"146803";"http://www.allocine.fr/film/fichefilm_gen_cfilm=146803.html";"Jeanne Captive";"2011-11-16";"90";"Autres";"français";"Long-métrage";FALSE;"Couleur";"8 nominations";"2,6";"2,4"
"178301";"http://www.allocine.fr/film/fichefilm_gen_cfilm=178301.html";"La Femme du Vème";"2011-11-16";"85";"Thriller";"français";"Long-métrage";FALSE;"Couleur";"3 nominations";"2,8";"2,1"
"197089";"http://www.allocine.fr/film/fichefilm_gen_cfilm=197089.html";"Qu'ils reposent en révolte";"2011-11-16";"153";"Documentaire";"français";"Long-métrage";FALSE;"N&B";"1 nomination";"3,6";"3,0"
"35725";"http://www.allocine.fr/film/fichefilm_gen_cfilm=35725.html";"Une trop bruyante solitude";"2011-11-16";"88";"Fantastique";"français";"Long-métrage";FALSE;"Couleur";NA;NA;NA
"198268";"http://www.allocine.fr/film/fichefilm_gen_cfilm=198268.html";"Beirut Kamikaze";"2011-11-16";"59";"Documentaire";"français";"Long-métrage";FALSE;NA;NA;"1,0";"3,1"
"199786";"http://www.allocine.fr/film/fichefilm_gen_cfilm=199786.html";"Tu sauras qui je suis : Brel Barbara et Franz";"2011-11-16";NA;"Documentaire";"français";"Long-métrage";FALSE;"Couleur";NA;NA;NA
"199130";"http://www.allocine.fr/film/fichefilm_gen_cfilm=199130.html";"Le Super 8 fait son cinéma";"2011-11-17";"120";"Documentaire";"français";"Long-métrage";FALSE;"Couleur";NA;NA;NA
"178179";"http://www.allocine.fr/film/fichefilm_gen_cfilm=178179.html";"Or Noir";"2011-11-23";"129";"Aventure";"français";"Long-métrage";FALSE;"Couleur";"3 nominations";"2,6";"3,3"
"187266";"http://www.allocine.fr/film/fichefilm_gen_cfilm=187266.html";"Les Adoptés";"2011-11-23";"100";"Comédie dramatique";"français";"Long-métrage";FALSE;"Couleur";"3 prix et 12 nominations";"2,9";"3,7"
"183369";"http://www.allocine.fr/film/fichefilm_gen_cfilm=183369.html";"L'Art d'aimer";"2011-11-23";"85";"Comédie";"français";"Long-métrage";FALSE;"Couleur";"11 nominations";"3,2";"2,6"
"190796";"http://www.allocine.fr/film/fichefilm_gen_cfilm=190796.html";"Le Tableau";"2011-11-23";"76";"Animation";"français";"Long-métrage";FALSE;"Couleur";"1 prix et 14 nominations";"4,1";"4,0"
"187541";"http://www.allocine.fr/film/fichefilm_gen_cfilm=187541.html";"The Last Son, la malédiction";"2011-11-23";"95";"Fantastique";"irlandais";"Long-métrage";FALSE;"Couleur";"1 prix et 6 nominations";"2,8";"3,1"
"192885";"http://www.allocine.fr/film/fichefilm_gen_cfilm=192885.html";"Tous au Larzac";"2011-11-23";"118";"Documentaire";"français";"Long-métrage";FALSE;"Couleur";"3 prix et 8 nominations";"4,1";"3,9"
"172431";"http://www.allocine.fr/film/fichefilm_gen_cfilm=172431.html";"Donoma";"2011-11-23";"133";"Comédie dramatique";"français";"Long-métrage";FALSE;"Couleur";"1 prix et 6 nominations";"3,9";"3,8"
"147125";"http://www.allocine.fr/film/fichefilm_gen_cfilm=147125.html";"Les Révoltés de l'île du Diable";"2011-11-23";"115";"Drame";"français";"Long-métrage";FALSE;"Couleur";"6 nominations";"3,5";"4,0"
"105754";"http://www.allocine.fr/film/fichefilm_gen_cfilm=105754.html";"If....";"2011-11-23";NA;"Drame";"britannique";"Long-métrage";TRUE;"Couleur";"5 nominations";"5,0";"3,8"
"193126";"http://www.allocine.fr/film/fichefilm_gen_cfilm=193126.html";"Black Blood";"2011-11-23";"123";"Drame";"français";"Long-métrage";FALSE;"Couleur";"1 nomination";"3,1";"2,8"
"195442";"http://www.allocine.fr/film/fichefilm_gen_cfilm=195442.html";"Grandpuits & petites victoires";"2011-11-23";"80";"Documentaire";"français";"Long-métrage";FALSE;NA;NA;"1,3";"3,3"
"145068";"http://www.allocine.fr/film/fichefilm_gen_cfilm=145068.html";"Les Lyonnais";"2011-11-30";"102";"Policier";"français";"Long-métrage";FALSE;"Couleur";"9 nominations";"2,8";"3,8"
"188837";"http://www.allocine.fr/film/fichefilm_gen_cfilm=188837.html";"The Lady";"2011-11-30";"127";"Autres";"français";"Long-métrage";FALSE;"Couleur";"4 nominations";"2,4";"3,9"
"189242";"http://www.allocine.fr/film/fichefilm_gen_cfilm=189242.html";"Americano";"2011-11-30";"105";"Drame";"français";"Long-métrage";FALSE;"Couleur";"1 prix et 9 nominations";"3,2";"2,6"
